Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
124,62.0,2,1524.62,718.15,100.0,55.0,Pepoli_10_10,1544.503026547959,669.1179574373771,13.278474665617376
125,62.5,0,1458.79,985.86,100.0,60.0,,,,
125,62.5,0,1458.79,985.86,100.0,60.0,bus_91_0,1521.5239110148289,1049.5290211540087,0.0
125,62.5,1,1488.73,846.56,100.0,60.0,,,,
125,62.5,1,1488.73,846.56,100.0,60.0,Pepoli_11_5,1514.867277618846,782.9638752811118,15.230218570507548
125,62.5,2,1524.62,718.15,100.0,60.0,,,,
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_11_3,1550.6117334323385,658.611488871672,10.841121679011678
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_10_4,1537.1121614208025,709.302624947928,11.781389377751626
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_11_5,1514.867277618846,782.9638752811118,15.230218570507548
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_11_6,1536.9772893608017,697.3738381961568,13.226784811415428
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_11_8,1535.490386115789,690.5234064439155,14.210773935402422
125,62.5,2,1524.62,718.15,100.0,60.0,Pepoli_10_10,1542.792453899845,675.5404162041835,13.292925610692967
126,63.0,0,1458.79,985.86,100.0,65.0,,,,
126,63.0,1,1488.73,846.56,100.0,65.0,,,,
126,63.0,1,1488.73,846.56,100.0,65.0,Pepoli_11_5,1513.0294054731105,790.3230171091577,15.170577858833546
126,63.0,2,1524.62,718.15,100.0,65.0,,,,
